customerid,customer_name,country,state,gender,dob,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,complaint_count,avg_csat,escalation_count,latest_complaint_date,tenure_days,tenure_months,interests,pincode
CUST1147,Manav Mehta,India,Delhi,Female,1985-10-01,2023-07-22,Organic,2025-07-22,Standard,Monthly,,,13.55,617,52,0,0,,0,,1136,37.32,job,
CUST1148,Shreya Reddy,,Telangana,Female,2003-08-02,2020-09-10,Organic,2025-09-10,Standard,Annual,,,13.87,888,0,0,0,,0,,2181,71.66,,
CUST1149,Rahul Khan,India,Karnataka,Female,1982-09-11,2023-04-24,Referral,2024-04-24,Standard,Monthly,2024-06-08,Poor streaming quality,7.9,292,74,1,2,23.14,0,2024-05-18,1225,40.25,,
CUST1150,Shreya Sharma,India,Rajasthan,Female,2001-09-16,2021-12-20,Paid,2025-12-20,Standard,Annual,,,13.56,789,28,0,0,,0,,1715,56.34,,
CUST1151,Nikhil Khan,,Telangana,Female,2006-05-22,2021-03-07,Organic,2026-03-07,Standard,Annual,,,15.37,1061,23,0,0,,0,,2003,65.81,,
CUST1152,Anaya Sharma,,Delhi,Women,1987-02-17,2022-07-09,Paid,2025-07-09,Standard,Annual,,,17.01,778,11,0,0,82.8,0,2025-04-08,1514,49.74,,
CUST1153,Rahul Verma,India,Meghalaya,Female,1974-07-18,2021-08-18,Referral,2024-08-18,Basic,Monthly,2024-10-03,Not enough content,9.43,240,68,1,1,8.76,0,2024-09-19,1839,60.42,,
CUST1154,Sana Khan,India,Meghalaya,Female,1977-01-05,2022-01-14,Referral,2025-01-14,Basic,Monthly,2025-03-01,Not enough content,9.35,200,75,1,0,32.03,0,2025-02-15,1690,55.52,,
CUST1155,Diya Nair,India,Nagaland,Male,2003-03-18,2019-06-07,Paid,2025-06-07,Premium,Annual,,,20.26,1915,14,0,1,,0,,2642,86.8,,
CUST1156,Nikhil Das,India,Karnataka,Female,1983-03-08,2023-06-30,Referral,2024-06-30,Standard,Monthly,2024-08-14,Poor streaming quality,8.72,258,86,1,1,20.2,0,2024-07-24,1158,38.05,,
CUST1157,Arjun Shaikh,India,Delhi,Female,1991-08-28,2022-09-24,Referral,2023-09-24,Standard,Monthly,2023-11-17,Too expensive,13.87,222,89,1,1,15.94,0,2023-10-09,1437,47.21,drama,
CUST1158,Kavya Khan,India,Uttar Pradesh,Men,1993-09-01,2020-03-04,Organic,2025-03-04,Premium,Annual,,,22.3,1819,22,0,1,,0,,2371,77.9,,
CUST1159,Nikhil Singh,India,Delhi,Female,1988-07-21,2023-01-26,Organic,2025-01-26,Standard,Monthly,,,15.24,570,54,0,0,,0,,1313,43.14,job,
CUST1160,Diya Deshmukh,India,Meghalaya,Female,1992-11-22,2022-06-29,Referral,2024-06-29,Basic,Monthly,2024-09-04,Switched to competitor,11.76,146,72,1,2,21.86,0,2024-08-01,1524,50.07,,
CUST1161,Nikhil Gupta,India,Maharashtra,Women,1978-07-12,2022-07-12,Paid,2025-07-12,Standard,Monthly,,,14.86,893,53,0,0,,0,,1511,49.64,,
CUST1162,Manav Joshi,India,Meghalaya,Female,1993-04-10,2022-04-08,Organic,2024-04-07,Premium,Annual,,,19.13,469,64,0,1,,0,,1606,52.76,,
CUST1163,Nikhil Mehta,,Delhi,Women,1988-05-15,2022-02-28,Paid,2025-02-28,Standard,Annual,,,19.63,781,16,0,2,96.78,0,2024-11-28,1645,54.05,,
CUST1164,Varun Verma,Nepal,Kathmandu,Male,1992-01-23,2022-04-08,Organic,2025-04-08,Basic,Annual,,,6.58,289,42,0,0,,0,,1606,52.76,,
CUST1165,Manav Sharma,India,Delhi,Female,1985-07-16,2022-11-11,Organic,2024-11-11,Standard,Monthly,,,12.49,551,66,0,0,,0,,1389,45.63,job,
CUST1166,Meera Gupta,India,Maharashtra,Men,1998-03-06,2021-10-16,Organic,2025-10-16,Premium,Annual,,,22.31,1846,20,0,0,,0,,1780,58.48,,
CUST1167,Sameer Sharma,,Delhi,Women,1990-01-18,2022-10-22,Paid,2025-10-22,Standard,Annual,,,18.43,646,15,0,2,90.37,0,2025-07-22,1409,46.29,,
CUST1168,Anaya Joshi,India,Telangana,Male,1984-12-15,2023-11-17,Referral,2024-11-17,Basic,Monthly,2024-11-17,Forgot to cancel trial,16.02,100,94,1,3,52.08,0,2024-11-17,1018,33.45,,
CUST1169,Rohan Yadav,India,Karnataka,Male,1997-11-13,2020-12-12,Paid,2024-12-12,Premium,Annual,2025-01-21,Switched to competitor,11.65,1122,95,1,4,27.48,0,2025-01-08,2088,68.6,,
CUST1170,Sameer Gupta,India,Uttar Pradesh,Men,1978-05-08,2019-06-05,Paid,2025-06-05,Premium,Annual,,,90.04,1901,23,0,1,,0,,2644,86.87,,
CUST1171,Varun Reddy,Nepal,Kathmandu,Male,1994-12-29,2022-05-14,Organic,2025-05-14,Basic,Annual,,,7.56,331,42,0,0,,0,,1570,51.58,,
CUST1172,Nikhil Verma,,Kathmandu,Women,1985-01-14,2023-07-02,Organic,2024-07-02,Standard,Monthly,,,13.29,246,30,0,0,,0,,1156,37.98,,
CUST1173,Meera Yadav,India,Rajasthan,Male,1999-09-16,2019-12-16,Organic,2024-12-16,Premium,Annual,,,22.14,1726,0,0,1,,0,,2450,80.49,,
CUST1174,Aanya Sharma,India,Delhi,Female,1976-11-05,2022-06-16,Organic,2025-06-16,Basic,Monthly,,,6.97,216,32,0,0,,0,,1537,50.5,movie,
CUST1175,Rahul Khan,India,Delhi,Female,1988-05-28,2023-02-19,Organic,2025-02-19,Standard,Monthly,,,15.3,646,55,0,0,,0,,1289,42.35,job,
CUST1176,Rohan Sharma,India,Maharashtra,Male,1981-02-20,2021-01-04,Referral,2025-01-04,Standard,Annual,,,15.43,711,6,0,1,,0,,2065,67.84,travel,
CUST1177,Rohan Gupta,,Kathmandu,Women,1984-06-03,2023-05-08,Organic,2024-05-08,Standard,Monthly,,,13.74,232,34,0,0,,0,,1211,39.79,,
CUST1178,Meera Das,India,Meghalaya,Female,1996-05-02,2022-04-21,Organic,2024-04-20,Premium,Annual,,,20.4,477,72,0,0,,0,,1593,52.34,,
CUST1179,Priya Singh,India,Rajasthan,Male,1997-11-25,2020-03-15,Organic,2025-03-16,Premium,Annual,,,20.71,1598,0,0,0,,0,,2360,77.54,,
CUST1180,Sameer Yadav,,Delhi,Women,1990-12-05,2022-01-04,Paid,2025-01-04,Standard,Annual,,,15.94,722,39,0,1,83.55,0,2024-10-04,1700,55.85,,
CUST1181,Aanya Verma,India,Uttar Pradesh,Men,1980-07-12,2020-01-15,Paid,2026-01-15,Premium,Annual,,,96.15,2313,4,0,0,,0,,2420,79.51,,
CUST1182,Rahul Mehta,India,Delhi,Female,1990-08-03,2022-11-24,Referral,2023-11-24,Standard,Monthly,2024-01-17,Too expensive,12.68,169,80,1,1,24.9,0,2023-12-09,1376,45.21,drama,
CUST1183,Priya Gupta,,Telangana,Female,2005-07-28,2021-02-08,Organic,2026-02-08,Standard,Annual,,,15.41,998,27,0,1,,0,,2030,66.69,,
CUST1184,Diya Mehta,India,Delhi,Female,1976-06-06,2023-03-12,Organic,2026-03-12,Basic,Monthly,,,7.57,228,34,0,1,,0,,1268,41.66,movie,
CUST1185,Sana Joshi,India,Meghalaya,Female,1993-02-06,2021-10-27,Organic,2023-10-27,Premium,Annual,,,22.18,601,60,0,0,,0,,1769,58.12,,
CUST1186,Aarav Verma,India,Meghalaya,Female,1990-08-18,2022-11-30,Referral,2024-11-30,Basic,Monthly,2025-02-05,Switched to competitor,13.99,173,81,1,2,22.26,0,2025-01-02,1370,45.01,,
CUST1187,Tanvi Singh,India,Meghalaya,Female,1974-08-13,2022-01-24,Referral,2025-01-24,Basic,Monthly,2025-03-11,Not enough content,9.22,244,75,1,0,41.0,0,2025-02-25,1680,55.2,,
CUST1188,Sana Patel,India,Maharashtra,Male,1984-03-15,2021-03-11,Referral,2025-03-11,Standard,Annual,,,14.27,552,19,0,0,,0,,1999,65.68,travel,
CUST1189,Meera Yadav,India,Rajasthan,Female,2001-03-20,2021-09-13,Paid,2025-09-13,Standard,Annual,,,13.05,724,24,0,0,,0,,1813,59.56,,
CUST1190,Aanya Sharma,India,Maharashtra,Male,1983-05-09,2021-05-29,Referral,2025-05-29,Standard,Annual,,,14.14,714,11,0,0,,0,,1920,63.08,travel,
CUST1191,Sameer Khan,India,Karnataka,Male,1996-09-02,2020-08-09,Paid,2024-08-09,Premium,Annual,2024-09-18,Switched to competitor,13.61,1179,75,1,3,49.36,0,2024-09-05,2213,72.71,,
CUST1192,Zoya Khan,India,Telangana,Male,1984-08-23,2023-07-24,Referral,2024-07-24,Basic,Monthly,2024-07-24,Forgot to cancel trial,18.45,100,94,1,2,46.48,0,2024-07-24,1134,37.26,,
CUST1193,Aditya Yadav,India,Meghalaya,Female,1992-08-01,2022-04-11,Referral,2024-04-11,Basic,Monthly,2024-06-17,Switched to competitor,13.28,149,78,1,1,29.43,0,2024-05-14,1603,52.67,,
CUST1194,Kavya Sharma,Nepal,Kathmandu,Male,1994-09-28,2022-09-21,Organic,2025-09-21,Basic,Annual,,,6.88,337,36,0,0,,0,,1440,47.31,,
CUST1195,Meera Das,India,Meghalaya,Female,1977-09-05,2022-02-09,Referral,2025-02-09,Basic,Monthly,2025-03-27,Not enough content,8.72,242,77,1,0,31.8,0,2025-03-13,1664,54.67,,
CUST1196,Aarav Reddy,India,Rajasthan,Male,1998-07-07,2020-08-11,Organic,2025-08-12,Premium,Annual,,,23.46,1836,7,0,0,,0,,2211,72.64,,
CUST1197,Priya Reddy,,Kathmandu,Women,1986-05-25,2023-08-21,Organic,2024-08-21,Standard,Monthly,,,12.73,256,34,0,1,,0,,1106,36.34,,
CUST1198,Tanvi Deshmukh,India,Meghalaya,Female,1996-02-24,2021-09-06,Organic,2023-09-06,Premium,Annual,,,20.59,603,59,0,0,,0,,1820,59.79,,
CUST1199,Arjun Verma,India,Maharashtra,Women,1979-08-14,2022-07-23,Paid,2025-07-23,Standard,Monthly,,,15.0,839,45,0,0,,0,,1500,49.28,,
